   date       s19h_m     s19h_b      s19v_m     s19v_b      s22v_m     s22v_b      s37h_m     s37h_b      s37v_m     s37v_b   
2021-02-21   1.04197   -7.28372     0.96495   13.09969     0.85929   36.45076     0.89746   18.66131     0.73599   61.48269  
2021-02-22   1.05696   -8.41387     0.98724    8.99602     0.89107   29.91035     0.92309   14.74824     0.82098   43.04384  
2021-02-23   1.07415  -10.29727     1.00473    5.65206     0.91343   25.22006     0.99561    3.43804     0.91197   23.63354  
2021-02-24   1.09127  -13.46405     1.01992    2.38826     0.94320   18.74562     1.02644   -2.66725     0.97412    9.99063  
2021-02-25   1.07980  -12.13365     1.00412    5.12779     0.92873   21.52556     1.01410   -1.13236     0.92188   20.72972  
2021-02-26   1.08016  -12.01994     1.00933    4.32428     0.93441   20.73269     1.01553   -1.16641     0.95253   14.38175  
2021-02-27   1.08240  -12.96995     1.00915    3.99513     0.92974   21.02227     1.02288   -3.14489     0.95788   12.86564  
2021-02-28   1.09173  -14.75876     1.01612    2.51458     0.94205   18.48120     1.02714   -3.87917     0.95799   13.02374  
2021-03-01   1.06907  -10.88244     0.99173    7.51673     0.92115   23.55423     0.99786    1.64869     0.91253   22.95969  
2021-03-02   1.06160   -8.81949     0.99293    7.79193     0.92179   23.83767     0.98617    4.56989     0.91347   23.17402  
2021-03-03   1.06669  -10.15475     0.99160    7.58962     0.93171   21.23201     1.00749    0.36192     0.93471   18.12280  
2021-03-04   1.06697  -10.19385     0.99815    6.51674     0.94072   19.73103     0.99719    2.05903     0.93467   18.41490  
2021-03-05   1.07385  -11.64744     0.99856    6.29816     0.94742   18.11484     1.01150   -0.77696     0.94814   15.41430  
2021-03-06   1.05194   -8.53744     0.98618    8.52525     0.93419   20.78776     0.98793    3.04875     0.93781   17.33238  
2021-03-07   1.07195  -11.37806     1.00119    5.70140     0.95893   15.72016     1.02121   -2.42047     0.95865   13.10125  
2021-03-08   1.05882   -9.71122     0.99856    6.15388     0.95056   17.54032     0.99452    2.35011     0.95092   14.88450  
2021-03-09   1.05708   -9.14653     0.99424    6.87709     0.94095   19.44262     0.99908    1.89772     0.94305   16.41878  
2021-03-10   1.06839  -11.43923     1.00165    5.16779     0.94833   17.61783     1.00646   -0.29032     0.94700   15.28094  
2021-03-11   1.07517  -11.97054     1.00283    5.28606     0.95813   15.72594     1.01216   -0.57287     0.95127   14.81539  
2021-03-12   1.06755  -10.87028     1.00167    5.39582     0.95986   15.36220     1.00483    0.58908     0.95301   14.23880  
2021-03-13   1.07451  -12.31394     1.00317    4.97222     0.95813   15.71156     1.01507   -1.92806     0.95214   14.21877  
2021-03-14   1.06999  -11.34215     1.00442    4.87855     0.95673   15.94932     1.00554    0.38791     0.95898   12.86507  
2021-03-15   1.07140  -11.80956     1.00079    5.34090     0.95537   16.02090     1.02067   -2.94749     0.95659   13.04795  
2021-03-16   1.08648  -14.14301     1.01038    3.44749     0.96870   13.09402     1.03842   -6.21262     0.96747   10.69637  
2021-03-17   1.05951   -9.37979     0.99544    6.73927     0.94730   18.18266     0.99604    2.60504     0.94490   16.00716  
2021-03-18   1.05448   -8.67007     0.98883    7.97456     0.93854   20.03038     0.98880    3.47946     0.93921   17.07929  
2021-03-19   1.06086   -9.96225     0.99639    6.42918     0.95452   16.53468     1.00535    0.28518     0.95055   14.59496  
2021-03-20   1.06632  -10.99237     1.00006    5.50614     0.95621   16.00891     1.01293   -1.55339     0.95513   13.38865  
2021-03-21   1.06654  -11.11506     0.99747    6.11914     0.95334   16.83317     1.01812   -2.46591     0.95691   13.07508  
2021-03-22   1.06421  -10.80283     0.99670    6.13023     0.95177   16.96693     1.01542   -1.91865     0.95187   14.11831  
2021-03-23   1.05668   -9.03941     0.99335    7.01018     0.94459   18.71490     1.00374    0.73992     0.95271   14.03322  
2021-03-24   1.06084   -9.97939     0.99607    6.43924     0.94627   18.42008     1.01346   -1.25365     0.95030   14.66458  
2021-03-25   1.06204  -10.30222     0.99673    6.16951     0.94761   17.99314     1.01941   -2.83928     0.95850   12.46836  
2021-03-26   1.06960  -11.23603     1.00280    5.03928     0.95284   17.09579     1.02106   -2.73938     0.96162   11.92720  
2021-03-27   1.06262  -10.28458     0.99431    6.67475     0.94658   18.42535     1.01146   -0.80450     0.95014   14.59452  
2021-03-28   1.06859  -11.34525     0.99865    5.77263     0.95577   16.27656     1.01405   -1.32693     0.95892   12.69180  
2021-03-29   1.05594   -9.49171     0.98824    7.79134     0.94374   18.74753     0.99420    2.50103     0.93507   17.99500  
2021-03-30   1.05147   -8.09107     0.98920    8.07953     0.94501   18.84236     0.98497    4.97387     0.93864   17.65840  
2021-03-31   1.06646  -10.90514     0.99797    5.92535     0.96097   14.91762     1.01555   -1.44374     0.95488   13.62907  
2021-04-01   1.05954   -9.81430     0.99216    7.29030     0.94882   17.83974     1.00339    0.63190     0.94602   15.65006  
2021-04-02   1.06317  -10.67813     0.99056    7.46280     0.94651   18.08262     1.00635   -0.03797     0.93932   17.09782  
2021-04-03   1.05353   -8.42233     0.98989    7.85466     0.94670   18.48838     1.00478    1.03032     0.94749   15.48943  
2021-04-04   1.05326   -8.73943     0.98848    7.93996     0.94225   19.21554     1.00296    0.79904     0.94269   16.21445  
2021-04-05   1.05733   -9.24729     0.98951    7.93821     0.94401   19.12965     1.00953   -0.31956     0.94388   16.31235  
2021-04-06   1.06027   -9.78775     0.99045    7.66393     0.95171   17.21550     1.00835   -0.07035     0.94657   15.62691  
2021-04-07   1.06033   -9.45289     0.99455    6.86188     0.95455   16.60537     1.00725    0.56416     0.95253   14.48076  
2021-04-08   1.05834   -9.46404     0.99108    7.43561     0.94949   17.60189     1.00094    1.54502     0.93848   17.42349  
2021-04-09   1.05648   -9.07027     0.99151    7.41935     0.94696   18.24748     1.00441    0.57671     0.94630   15.53166  
2021-04-10   1.06208  -10.12901     0.99448    6.76598     0.95302   16.87127     1.01471   -1.56407     0.95090   14.44896  
2021-04-11   1.05790   -9.25107     0.99004    7.79794     0.94165   19.60172     1.00133    1.42376     0.94002   17.07928  
2021-04-12   1.06378  -10.26285     0.99308    7.19689     0.94782   18.23706     1.00708    0.31732     0.94210   16.70022  
2021-04-13   1.06270  -10.21286     0.99452    6.78946     0.95192   17.13421     1.00367    1.10230     0.94210   16.71565  
2021-04-14   1.06360  -10.74401     0.99567    6.30396     0.95298   16.52005     1.01118   -1.13956     0.95030   14.39878  
2021-04-15   1.05567   -9.04646     0.98895    7.88401     0.94145   19.28376     1.00142    1.06703     0.94004   16.78229  
2021-04-16   1.05449   -8.69128     0.98676    8.41049     0.94281   19.07029     1.00130    1.25775     0.93718   17.51235  
2021-04-17   1.05617   -8.91753     0.98787    8.32386     0.94422   18.98868     1.00509    0.55171     0.94392   16.13247  
2021-04-18   1.06392  -10.30267     0.99590    6.60707     0.95238   17.15446     1.01583   -1.41186     0.95485   13.70610  
2021-04-19   1.06143  -10.09193     0.99293    7.19595     0.94945   17.80176     1.01678   -1.55074     0.95759   13.19153  
2021-04-20   1.06072  -10.29482     0.99251    7.10267     0.94645   17.94107     0.98957    3.28591     0.93596   17.82804  
2021-04-21   1.06234  -10.30318     0.99328    7.01010     0.95245   16.75997     1.00806   -0.14387     0.94677   15.38802  
2021-04-22   1.06344  -10.26970     0.99379    7.02376     0.94926   17.73590     1.01225   -0.83120     0.95011   14.68211  
2021-04-23   1.06124  -10.09018     0.99259    7.16664     0.94619   18.34754     1.01114   -0.76526     0.94843   14.98830  
2021-04-24   1.05860   -9.85615     0.98781    8.18914     0.94069   19.51599     1.00284    0.90843     0.94152   16.66218  
2021-04-25   1.05532   -8.82110     0.98655    8.66544     0.94632   18.21595     0.99873    1.94081     0.94127   16.75503  
2021-04-26   1.05663   -8.81660     0.98590    8.86947     0.93450   21.22645     0.99965    1.91455     0.93720   17.79037  
2021-04-27   1.05555   -8.88616     0.98459    9.11129     0.93401   21.24361     1.00069    1.47977     0.93749   17.58596  
2021-04-28   1.06231  -10.51513     0.99053    7.55676     0.94490   18.41799     1.00702   -0.14945     0.93713   17.55093  
2021-04-29   1.06552  -11.13344     0.99398    6.78946     0.94937   17.43264     1.01989   -2.98341     0.95393   13.53287  
2021-04-30   1.05037   -7.97779     0.98453    9.02108     0.93841   20.12226     0.99242    3.19036     0.93713   17.59347  
2021-05-01   1.05424   -8.84876     0.98509    8.84315     0.94273   18.98690     0.99896    1.67166     0.94111   16.62572  
2021-05-02   1.05330   -8.62389     0.98355    9.24326     0.93965   19.90186     0.99810    1.99037     0.93752   17.61680  
2021-05-03   1.05860   -9.63256     0.98592    8.70001     0.93847   20.16530     1.01135   -0.90735     0.94116   16.68409  
2021-05-04   1.05159   -8.34662     0.98091    9.71858     0.93382   21.06375     1.00402    0.41808     0.93810   17.17096  
2021-05-05   1.05378   -8.74626     0.98233    9.46040     0.93985   19.78959     1.00562    0.32804     0.93923   17.12583  
2021-05-06   1.05416   -9.09341     0.98317    9.11766     0.94018   19.42384     1.01017   -1.11859     0.94484   15.48445  
2021-05-07   1.06065  -10.30022     0.98699    8.25524     0.94681   17.89497     1.01524   -1.83192     0.94651   15.29434  
2021-05-08   1.06384  -11.11642     0.98697    8.24519     0.94263   18.85709     1.01525   -2.08009     0.94032   16.71469  
2021-05-09   1.05346   -8.57555     0.98075    9.92343     0.94209   19.26646     1.00035    1.77537     0.93594   18.11468  
2021-05-10   1.05644   -9.61874     0.98526    8.60118     0.94167   19.11936     1.00982   -0.78898     0.94446   15.74695  
2021-05-11   1.05781   -9.69220     0.98648    8.52847     0.94365   18.85245     1.00794    0.01902     0.94432   16.09742  
2021-05-12   1.06239  -10.72588     0.98826    7.97426     0.95473   16.10343     1.00650    0.18073     0.93814   17.44949  
2021-05-13   1.05737   -9.66731     0.98532    8.80395     0.94527   18.56435     1.00359    1.01985     0.94102   16.99462  
2021-05-14   1.05865   -9.96583     0.98565    8.61117     0.93777   20.06096     1.00290    0.89085     0.92972   19.36522  
2021-05-15   1.06262  -11.21157     0.98836    7.84849     0.94784   17.48118     1.01379   -1.62069     0.94138   16.53393  
2021-05-16   1.05403   -8.97815     0.98502    8.68399     0.93540   20.41109     0.99926    1.57403     0.93639   17.52881  
2021-05-17   1.05668   -9.91723     0.98216    9.19042     0.93250   21.04792     1.01148   -1.30606     0.94004   16.61721  
